Site,Year,Day,Month,Hour,Minutes,Value,Prediction,Band,PM10_Threshold,City_London_Site
CT3,2018,17,12,0,0,9.0,19.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,3,0,5.0,8.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,7,30,5.0,6.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,8,0,10.0,7.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,9,0,19.0,11.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,10,0,16.0,17.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,11,30,17.0,18.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,12,0,19.0,19.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,15,0,18.0,22.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,18,30,40.0,37.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,20,0,32.0,32.0,Low,0-50,Sir John Cass School
CT3,2018,17,12,20,30,32.0,31.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,0,30,38.0,37.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,1,0,28.0,36.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,5,0,23.0,22.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,8,30,15.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,9,0,15.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,10,30,15.0,15.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,11,0,16.0,15.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,12,30,16.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,13,0,19.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,14,0,17.0,18.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,14,30,17.0,17.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,15,30,20.0,19.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,17,0,16.0,19.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,17,30,16.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,18,30,16.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,19,0,13.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,18,12,23,30,10.0,11.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,2,30,14.0,13.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,3,0,22.0,13.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,6,0,13.0,24.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,7,0,3.0,16.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,16,30,12.0,13.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,18,0,7.0,12.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,18,30,7.0,8.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,19,0,19.0,10.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,20,0,15.0,17.0,Low,0-50,Sir John Cass School
CT3,2018,19,12,22,30,6.0,6.0,Low,0-50,Sir John Cass School
CT3,2018,20,12,0,0,10.0,9.0,Low,0-50,Sir John Cass School
CT3,2018,20,12,2,30,8.0,9.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,12,0,36.0,10.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,13,0,33.0,29.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,13,30,33.0,30.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,14,30,27.0,29.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,15,30,31.0,31.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,16,0,31.0,30.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,19,0,32.0,30.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,19,30,32.0,32.0,Low,0-50,Sir John Cass School
CT3,2018,21,12,22,30,41.0,37.0,Low,0-50,Sir John Cass School
CT3,2018,22,12,1,0,13.0,18.0,Low,0-50,Sir John Cass School
CT3,2018,22,12,2,30,22.0,20.0,Low,0-50,Sir John Cass School
CT3,2018,22,12,3,30,7.0,6.0,Low,0-50,Sir John Cass School
CT3,2018,22,12,4,0,8.0,9.0,Low,0-50,Sir John Cass School
